Date,Ticker,Adj Close,SMA_10,SMA_50,EMA_20,RSI_14,Future_Close,Future_Return,Target,Pred_rf,Position_rf,Daily_Return_rf,Equity_Curve_rf,Pred_lgb,Position_lgb,Daily_Return_lgb,Equity_Curve_lgb
2020-03-13,IWM,111.45555877685548,127.34030456542968,148.3102233886719,133.71548436550748,24.509327141957172,94.59773254394533,-0.151251551900261,0,0,0,,,1,1,,
2020-03-16,IWM,96.6688232421875,122.91734619140624,147.15042053222658,130.1872309251913,21.86866182663745,93.19834899902344,-0.0359006567657224,0,0,0,-0.0,1.0,1,1,-0.13266934100857564,0.8673306589914244
2020-03-17,IWM,101.10017395019533,119.22486724853516,146.0913735961914,127.41703502281074,26.120718865364395,101.7252197265625,0.0061824401674628,1,1,1,0.045840536373405794,1.0458405363734058,1,1,0.045840536373405794,0.9070895616126907
2020-03-18,IWM,93.26367950439452,114.35597915649414,144.8714921569824,124.16433449724728,25.344040946045965,102.9895248413086,0.1042833114519763,1,1,1,-0.07751217569280622,0.9647751609713717,1,1,-0.07751217569280622,0.8367790761438573
2020-03-19,IWM,96.90204620361328,110.30245819091796,143.7346405029297,121.56792608832976,28.921745068291457,109.3953628540039,0.1289272738796384,1,1,1,0.03901161436641942,1.002412597501487,1,1,0.03901161436641942,0.8694231787722702
2020-03-20,IWM,94.59773254394533,106.29091796875,142.54218597412108,118.9993362269598,24.804542547607056,105.41511535644533,0.1143513963981619,1,1,1,-0.023779824574870823,0.9785754017812611,1,1,-0.023779824574870823,0.848748448099739
2020-03-23,IWM,93.19834899902344,103.4492530822754,141.3180126953125,116.54209934810874,25.208964869260797,107.73770904541016,0.1560044807933139,1,1,1,-0.014792992467042576,0.9640993432342778,1,1,-0.014792992467042576,0.8361929187005855
2020-03-24,IWM,101.7252197265625,101.0805793762207,140.27594482421875,115.13096795558052,28.829541422995476,107.19451904296876,0.0537654215061687,1,1,1,0.09149165000367554,1.0523063829142418,1,1,0.09149165000367554,0.9126975885538914
2020-03-25,IWM,102.9895248413086,99.63597869873048,139.23919845581054,113.97464003993557,31.228866467295266,99.8896255493164,-0.0300991707338068,0,0,0,0.0,1.0523063829142418,0,0,0.0,0.9126975885538914
2020-03-26,IWM,109.3953628540039,100.12964706420898,138.31918731689453,113.53851840318016,36.73613753019838,100.83552551269533,-0.0782468024054393,0,0,0,0.0,1.0523063829142418,0,0,0.0,0.9126975885538914
